dictionary_id,bucket,reason
"river",unlisted,"default real private"
"---saphorndict",glossary,"hand-reviewed"
"--hamed01",conlang,"self-declared conlang"
"-angika-maithili-",conlang,"self-declared conlang"
"-glossary585",delete,"0 entries, stale since 2024-11-22"
"-glossay5",delete,"0 entries, stale since 2024-11-19"
"-ho",delete,"0 entries, stale since 2025-04-11"
"-kashtoshinggiyobangla",unlisted,"default real private"
"-runglwo",unlisted,"hand-reviewed"
"1p-emanuscript",conlang,"self-declared conlang"
"20-keywords-relevant-to-g",delete,"1 entries, stale since 2024-11-07"
"4thgrade",delete,"0 entries, stale since 2024-12-17"
"6SD8EMju4w312NXb3Y6a",delete,"0 entries, stale since 2019-04-23"
"6nvd4st3esfafdr",conlang,"self-declared conlang"
"77chinese-dictionary",glossary,"hand-reviewed"
"80CcDQ4DRyiYSPIWZ9Hy",public,"publicly listed"
"AplqDbn7vzVZhGiiYKmJ",unlisted,"default real private"
"QAThAUaCXUaJVLwZeXEz",unlisted,"default real private"
"TzgbJBjSo1Pn2GLMsG61",unlisted,"default real private"
"a-fala",public,"publicly listed"
"a-mini-dictionary-of-comm",glossary,"hand-reviewed"
"aarabah",conlang,"hand-reviewed"
"abakua",delete,"0 entries, stale since 2024-11-25"
"abc",glossary,"hand-reviewed"
"abcd1234",delete,"1 entries, stale since 2024-08-02"
"abirian",conlang,"self-declared conlang"
"aborda",delete,"1 entries, stale since 2025-01-10"
"ache",public,"publicly listed"
"ache-test",delete,"1 entries, stale since 2023-09-06"
"achi",public,"publicly listed"
"adam",conlang,"self-declared conlang"
"adoolish",conlang,"self-declared conlang"
"adruveeto",conlang,"self-declared conlang"
"adyghe",unlisted,"default real private"
"adzagbe-lexicon",unlisted,"default real private"
"aetheril",delete,"2 entries, stale since 2024-11-25"
"aethyr",delete,"0 entries, stale since 2025-03-24"
"aewa",public,"publicly listed"
"afatena",conlang,"self-declared conlang"
"afmaay",unlisted,"default real private"
"afrikaans",public,"publicly listed"
"agarathi",conlang,"self-declared conlang"
"aghibbitto-ffarifo",conlang,"self-declared conlang"
"aghimuing-pilipino",unlisted,"default real private"
"aghul",public,"publicly listed"
"aghul-koshan",public,"publicly listed"
"aghul-koshan-dialect",delete,"0 entries, stale since 2023-08-22"
"agnean",delete,"0 entries, stale since 2024-11-17"
"aingae-cofan",unlisted,"default real private"
"ainu",unlisted,"default real private"
"ainu123",public,"publicly listed"
"aisjksis",conlang,"self-declared conlang"
"aitian",conlang,"hand-reviewed"
"ajdjskdjfjskkf",delete,"0 entries, stale since 2025-03-10"
"akadca-sozlugu",delete,"0 entries, stale since 2025-05-08"
"akaixa",conlang,"self-declared conlang"
"akateko",public,"publicly listed"
"akha",conlang,"self-declared conlang"
"akiratenshiwiki",conlang,"self-declared conlang"
"akkadian",delete,"0 entries, stale since 2024-06-08"
"aklandictionary",conlang,"hand-reviewed"
"akparabong",unlisted,"default real private"
"akranzitian",conlang,"hand-reviewed"
"akurstani",conlang,"self-declared conlang"
"alabugat-tatar",unlisted,"default real private"
"alaguilac",unlisted,"default real private"
"alaywika",conlang,"self-declared conlang"
"albania12",conlang,"self-declared conlang"
"albanian",conlang,"self-declared conlang"
"albercablos",delete,"1 entries, stale since 2024-04-30"
"albernian-latin",conlang,"self-declared conlang"
"alexii",conlang,"self-declared conlang"
"algonquin",unlisted,"default real private"
"algyzlang",conlang,"self-declared conlang"
"alien-language",conlang,"self-declared conlang"
"allemand",conlang,"self-declared conlang"
"allendalic",conlang,"self-declared conlang"
"alli-language",conlang,"self-declared conlang"
"alpha-gen",glossary,"hand-reviewed"
"alphabetica",delete,"1 entries, stale since 2024-08-28"
"alsea",unlisted,"default real private"
"alsea-yaquina",unlisted,"default real private"
"alu-kurumba",public,"publicly listed"
"alxa-mongolian",delete,"1 entries, stale since 2022-10-27"
"alyaban",conlang,"self-declared conlang"
"amdang",delete,"hand-reviewed"
"amdo-tibetan",delete,"2 entries, stale since 2022-10-27"
"amezoep",conlang,"self-declared conlang"
"amharic",delete,"0 entries, stale since 2022-10-27"
"amor-infidelidad",glossary,"hand-reviewed"
"anaan",delete,"1 entries, stale since 2022-12-10"
"anasai",delete,"0 entries, stale since 2025-05-01"
"ancash-qichwa",delete,"0 entries, stale since 2022-10-27"
"ancient-aramaic",unlisted,"default real private"
"ancient-egyptian",glossary,"hand-reviewed"
"ancient-greek",delete,"0 entries, stale since 2024-04-17"
"ancient-hylian",delete,"0 entries, stale since 2025-05-23"
"ancient-language",conlang,"hand-reviewed"
"andalusi",unlisted,"default real private"
"ande",conlang,"self-declared conlang"
"andesian",conlang,"self-declared conlang"
"andi",public,"publicly listed"
"andi-muni",public,"publicly listed"
"andorran-dictionary",glossary,"hand-reviewed"
"angaite",delete,"0 entries, stale since 2024-04-17"
"angelsk",conlang,"self-declared conlang"
"anggas-word",delete,"1 entries, stale since 2024-04-03"
"angika",public,"publicly listed"
"angika-maithili-",conlang,"self-declared conlang"
"angkulixta",conlang,"self-declared conlang"
"anglais",delete,"0 entries, stale since 2024-12-13"
"anglisch",conlang,"self-declared conlang"
"anglow-norman-kreeool",conlang,"hand-reviewed"
"anglu-latviesu-vardnica-m",conlang,"self-declared conlang"
"animal-names-in-yoruba",glossary,"hand-reviewed"
"animalish",delete,"0 entries, stale since 2025-05-27"
"animalslanguage",glossary,"hand-reviewed"
"anish",conlang,"self-declared conlang"
"ankalyon",conlang,"self-declared conlang"
"antekerrepenhe-ikngerripe",unlisted,"default real private"
"anthrow",conlang,"hand-reviewed"
"anti-zo",conlang,"self-declared conlang"
"antik-msrca",glossary,"hand-reviewed"
"apalachee",delete,"2 entries, stale since 2025-01-08"
"apatani",public,"publicly listed"
"appalachian",unlisted,"default real private"
"aprendendofrances",glossary,"hand-reviewed"
"arabe",delete,"0 entries, stale since 2022-10-27"
"arabic",delete,"1 entries, stale since 2024-07-09"
"arabic--e-kamus-",glossary,"hand-reviewed"
"arabic-and-english",glossary,"hand-reviewed"
"arabic-kurdish",conlang,"self-declared conlang"
"arabic-networking-terms",glossary,"hand-reviewed"
"arabic-russian",delete,"3 entries, stale since 2024-10-08"
"arabic-thai",glossary,"hand-reviewed"
"arabicbbjjkvo",delete,"1 entries, stale since 2025-04-12"
"araona",public,"publicly listed"
"arayeke-taino",public,"publicly listed"
"aren-aiome",public,"publicly listed"
"argotdictionnaire",delete,"1 entries, stale since 2025-01-10"
"aria",conlang,"self-declared conlang"
"ariaca",conlang,"self-declared conlang"
"arkajseno",conlang,"self-declared conlang"
"aromanian",delete,"3 entries, stale since 2025-05-05"
"arpassaqlussat",delete,"3 entries, stale since 2025-01-11"
"arpitan-des-terresfroides",unlisted,"default real private"
"artbiz-vn",delete,"1 entries, stale since 2024-09-06"
"artensla",conlang,"hand-reviewed"
"artinan-or-8",conlang,"self-declared conlang"
"arvanitika",public,"publicly listed"
"arvelonnian",conlang,"hand-reviewed"
"asahi",conlang,"self-declared conlang"
"asajaajsusus",delete,"1 entries, stale since 2025-01-01"
"asante-twi",unlisted,"default real private"
"asheborncomicthornescript",conlang,"self-declared conlang"
"ashkarn",conlang,"self-declared conlang"
"ashtonese",conlang,"self-declared conlang"
"ass-enese",conlang,"self-declared conlang"
"assamsora",unlisted,"default real private"
"astans",delete,"1 entries, stale since 2025-03-31"
"astraven",conlang,"self-declared conlang"
"asturiano",unlisted,"default real private"
"asturlliones",unlisted,"default real private"
"atakapa-ishakkoy",public,"publicly listed"
"atakapan-ishak",unlisted,"default real private"
"atheist",conlang,"self-declared conlang"
"atlanticcan",conlang,"self-declared conlang"
"atlas-vivo-de-mayunmarka",public,"publicly listed"
"atnoeb",conlang,"self-declared conlang"
"atomb",unlisted,"default real private"
"australianphrases-jeanica",conlang,"self-declared conlang"
"autisiteus",conlang,"self-declared conlang"
"avalonian",conlang,"self-declared conlang"
"avar",delete,"0 entries, stale since 2024-04-17"
"avestan",delete,"0 entries, stale since 2024-04-23"
"awadhi",delete,"0 entries, stale since 2022-10-27"
"awajun",public,"publicly listed"
"awajuncastellano",delete,"0 entries, stale since 2025-05-05"
"awakateko",unlisted,"default real private"
"awn-coa-aa",conlang,"self-declared conlang"
"ayapaneco-nnumte-oote",unlisted,"default real private"
"aymara",delete,"2 entries, stale since 2022-10-07"
"ayook",unlisted,"default real private"
"ayoreo",delete,"0 entries, stale since 2020-06-23"
