146857 objects to copy.
500/146857 (499 copied 0.09GB, 1 missing, 0 errors) — 19.2/s
1000/146857 (999 copied 0.25GB, 1 missing, 0 errors) — 18.3/s
1500/146857 (1499 copied 0.30GB, 1 missing, 0 errors) — 19.2/s
2000/146857 (1999 copied 0.38GB, 1 missing, 0 errors) — 19.7/s
2500/146857 (2499 copied 0.55GB, 1 missing, 0 errors) — 20.0/s
3000/146857 (2999 copied 0.55GB, 1 missing, 0 errors) — 20.6/s
3500/146857 (3499 copied 0.56GB, 1 missing, 0 errors) — 21.0/s
4000/146857 (3999 copied 0.57GB, 1 missing, 0 errors) — 21.3/s
4500/146857 (4499 copied 0.58GB, 1 missing, 0 errors) — 21.6/s
5000/146857 (4999 copied 0.59GB, 1 missing, 0 errors) — 21.7/s
5500/146857 (5499 copied 0.60GB, 1 missing, 0 errors) — 21.9/s
6000/146857 (5999 copied 0.61GB, 1 missing, 0 errors) — 22.0/s
6500/146857 (6499 copied 0.67GB, 1 missing, 0 errors) — 22.0/s
7000/146857 (6999 copied 0.85GB, 1 missing, 0 errors) — 21.7/s
7500/146857 (7499 copied 1.09GB, 1 missing, 0 errors) — 21.5/s
8000/146857 (7999 copied 1.34GB, 1 missing, 0 errors) — 21.3/s
8500/146857 (8499 copied 1.78GB, 1 missing, 0 errors) — 20.8/s
9000/146857 (8999 copied 2.22GB, 1 missing, 0 errors) — 20.4/s
9500/146857 (9499 copied 2.62GB, 1 missing, 0 errors) — 20.2/s
10000/146857 (9999 copied 2.65GB, 1 missing, 0 errors) — 20.3/s
10500/146857 (10499 copied 2.74GB, 1 missing, 0 errors) — 20.3/s
11000/146857 (10999 copied 2.75GB, 1 missing, 0 errors) — 20.5/s
11500/146857 (11499 copied 2.93GB, 1 missing, 0 errors) — 20.4/s
12000/146857 (11999 copied 3.11GB, 1 missing, 0 errors) — 20.2/s
12500/146857 (12499 copied 3.28GB, 1 missing, 0 errors) — 20.0/s
13000/146857 (12999 copied 3.46GB, 1 missing, 0 errors) — 19.9/s
13500/146857 (13499 copied 3.65GB, 1 missing, 0 errors) — 19.8/s
14000/146857 (13999 copied 3.85GB, 1 missing, 0 errors) — 19.6/s
14500/146857 (14499 copied 4.05GB, 1 missing, 0 errors) — 19.5/s
15000/146857 (14999 copied 4.24GB, 1 missing, 0 errors) — 19.5/s
