id,bucket,entry_count,last_edit,name
"--hamed01",conlang,0,,"کلمات پر کاربرد"
"6nvd4st3esfafdr",conlang,2,2025-11-05T18:04:31.242Z,"Standard Bridge English"
"a-mini-dictionary-of-comm",glossary,0,,"A Mini Dictionary of Common Slang Used by Students in Nigeria"
"abc",glossary,1,2025-11-03T15:49:10.483Z,"Abc"
"adruveeto",conlang,4,2025-05-13T05:16:16.213Z,"Adruveeto (Conlang)"
"agarathi",conlang,8,2025-01-18T05:34:22.056Z,"Agarathi (Conlang)"
"akaixa",conlang,8,2025-05-13T05:16:16.213Z,"Akaixa (Conlang)"
"akiratenshiwiki",conlang,0,,"Akiratenshi"
"algyzlang",conlang,8,2025-08-29T19:31:07.892Z,"Alğızşa"
"allemand",conlang,1,2025-10-21T15:42:09.324Z,"Allemand"
"allendalic",conlang,1,2025-09-03T16:05:10.010Z,"Allendalic (Conlang)"
"ancient-egyptian",glossary,0,,"Ancient Egyptian"
"ancient-language",conlang,6,2025-04-23T17:40:31.212Z,"Ancient Language"
"ande",conlang,4,2025-07-11T05:41:31.831Z,"Ânde"
"andorran-dictionary",glossary,0,,"Andorran Dictionary"
"angika-maithili-",conlang,0,,"अंगिका मैथिली"
"anglisch",conlang,0,,"Anglisch"
"anglow-norman-kreeool",conlang,0,,"Anglow-Norman Kreeool"
"anglu-latviesu-vardnica-m",conlang,0,,"Angļu-Latviešu vārdnīca Markuss"
"anthrow",conlang,0,,"Anthrow"
"anti-zo",conlang,1,2025-12-23T02:02:13.592Z,"Anti-zo"
"antik-msrca",glossary,0,,"Antik Mısırca"
"arabic--e-kamus-",glossary,1,2025-09-03T02:23:51.898Z,"Arabic ( E-KAMUS )"
"arabic-kurdish",conlang,8,2025-09-23T19:15:57.464Z,"Arabic-kurdish"
"arabic-networking-terms",glossary,1,2025-11-29T01:30:54.760Z,"Arabic Networking Terms"
"arabic-thai",glossary,0,,"Arabic-thai"
"aria",conlang,0,,"Aria"
"artensla",conlang,1,2025-08-16T09:12:14.082Z,"English"
"atheist",conlang,1,2025-11-22T22:06:00.134Z,"Atheist"
"atnoeb",conlang,5,2025-11-25T17:27:11.434Z,"Atnoeb"
"awn-coa-aa",conlang,4,2025-10-22T12:17:57.694Z,"AwN CoA Aaˊ"
"barbani",conlang,4,2025-05-13T05:16:16.213Z,"Barbani (Conlang)"
"bees-kneesenese",conlang,0,,"Bees-Kneesenese"
"beyond-the-frontier",conlang,0,,"Beyond The Frontier"
"binglish",conlang,0,,"Binglish"
"botellanes",conlang,7,2025-05-13T05:28:21.229Z,"Botellanés (Conlang)"
"boyo",conlang,8,2025-06-19T21:24:24.956Z,"Boyo"
"bridging-bogota--karachi",glossary,0,,"Bridging Bogotá & Karachi"
"brisano",conlang,6,2025-05-13T05:28:21.229Z,"Brisano"
"british-english",glossary,1,2025-08-26T10:00:22.294Z,"British English"
"brotigigigig",conlang,1,2025-10-09T15:54:30.145Z,"Brotigigigig"
"buddhijkyesyes",conlang,0,,"Buddhijk"
"c1vocabulary",glossary,0,,"C1_Vocabulary"
"carntinian",conlang,0,,"Carntinian"
"cattish",conlang,1,2025-12-18T14:53:17.890Z,"Cattish"
"chachamba",conlang,0,,"Chachamba"
"chelish",conlang,7,2025-11-17T13:12:36.727Z,"Chelish"
"chepache",conlang,0,,"Chepache"
"chicken-language",glossary,1,2025-11-07T07:37:10.785Z,"Chicken language"
"chicken-languange",glossary,0,,"Chicken languange"
"childrens-dictionary",glossary,1,2025-07-20T15:39:33.016Z,"Children's Dictionary"
"chinese-idiom",glossary,1,2025-09-19T13:53:27.783Z,"Chinese Idiom dictionary, Cantonese Version"
"chinese-idiom-dictionary",glossary,1,2025-09-19T13:32:49.462Z,"Chinese Idiom Dictionary: Cantonese Cartoon"
"chinese-idiom-video",glossary,0,,"Chinese Idiom Video"
"chinesee",glossary,0,,"Chinesee"
"chineseidiomdictionary",glossary,1,2025-09-19T13:53:23.855Z,"Chinese version idiom dictionary"
"chineseversionidiom",glossary,1,2025-09-20T07:14:07.880Z,"Chinese version idiom dictionary"
"chrisz-language",conlang,0,,"Chrisz language"
"clademan",conlang,4,2025-08-23T22:47:59.441Z,"Clademan"
"cnhn",conlang,7,2025-06-29T01:30:45.719Z,"CNHN"
"colloquial-jordanian",conlang,1,2026-01-01T20:37:20.732Z,"Colloquial Jordanian"
"colloquialjordanian",conlang,0,,"Colloquial Jordanian"
"computer-shortcuts",conlang,0,,"Computer shortcuts"
"crentonian",conlang,1,2025-12-26T20:31:27.517Z,"Crentonian"
"cryptian",conlang,0,,"Cryptian"
"csa-language",conlang,7,2024-11-14T19:56:27.376Z,"CSA Language (Conlang)"
"damian",conlang,0,,"Damian"
"devonian",conlang,1,2025-12-07T17:10:18.693Z,"Devonian"
"dfdfd",glossary,1,2025-11-01T13:29:24.011Z,"Dfdfd"
"diccionario-del-reino-de",conlang,1,2025-12-04T10:32:11.797Z,"Diccionario del Reino de Prusalia para hablantes españoles"
"diccionario-semiotico",glossary,4,2025-09-14T04:56:28.389Z,"Diccionario semiotico"
"diccionarioowen",glossary,2,2025-12-13T15:33:46.061Z,"DiccionarioOwen"
"dicexxionairem-virlander",conlang,1,2025-07-27T00:53:41.219Z,"Dićexxionairem Virølander-Hispanier"
"dico",glossary,0,,"Dico"
"dictionary-of-alternate-v",conlang,1,2025-08-15T05:26:58.806Z,"Dictionary of Alternate Vocabularies"
"dictionary-of-traditional",glossary,0,,"Dictionary of traditional tools"
"diksyunaryo-ng-medisina",conlang,0,,"DIKSYUNARYO NG MEDISINA, MATEMATIKA AT AGHAM"
"dodge",conlang,0,,"DodGe"
"doopian",conlang,3,2025-08-11T05:51:04.743Z,"Doopian"
"dosnitla",conlang,1,2025-11-09T04:15:50.635Z,"Dosnitla"
"draconese",conlang,0,,"Draconese"
"dragonic",conlang,1,2025-10-25T23:42:14.750Z,"Dragonic"
"drahziir",conlang,8,2025-07-30T17:19:31.066Z,"Drahziir"
"draknir",conlang,6,2025-09-07T15:05:45.731Z,"Draknir"
